Rk,Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed,Average Salary
53,Klay Thompson\thompkl01,GSW,17826150,18988725,,,,,1st Round Pick,36814875,18407438
71,Jonas Valanciunas\valanjo01,TOR,15460675,16539326,17617977,,,,1st Round Pick,32000001,16539326
107,John Henson\hensojo01,MIL,11422536,10577466,9732396,,,,1st Round Pick,31732398,10577466
78,Ricky Rubio\rubiori01,UTA,14275000,14975000,,,,,1st Round Pick,29250000,14625000
91,Kenneth Faried\farieke01,DEN,12921348,13764045,,,,,1st Round Pick,26685393,13342697
89,Michael Kidd-Gilchrist\kiddgmi01,CHO,13000000,13000000,13000000,,,,1st Round Pick,26000000,13000000
100,Kemba Walker\walkeke02,CHO,12000000,12000000,,,,,1st Round Pick,24000000,12000000
111,Alec Burks\burksal01,UTA,10845506,11536515,,,,,1st Round Pick,22382021,11191011
43,Paul George\georgpa01,OKC,19508958,20703384,,,,,1st Round Pick,19508958,20106171
50,DeMarcus Cousins\couside01,NOP,18063850,,,,,,1st Round Pick,18063850,18063850
