last name,first name,position,team,year,average salary
Antetokounmpo,Giannis,Small Forward,MIL,2017,25000000
Monroe,Greg,Center,MIL,2017,17145838
Middleton,Khris,Small Forward,MIL,2017,14000000
Henson,John,Power Forward,MIL,2017,12000000
Snell,Tony,Small Forward,MIL,2017,11500000
Teletovic,Mirza,Power Forward,MIL,2017,10500000
Dellavedova,Matthew,Point Guard,MIL,2017,9607500
Parker,Jabari,Power Forward,MIL,2017,7413237
Maker,Thon,Power Forward,MIL,2017,2626380
Wilson,DJ,Power Forward,MIL,2017,2334660
Green,Gerald,Shooting Guard,MIL,2017,2328652
Terry,Jason,Shooting Guard,MIL,2017,2328652
Anthony,Joel,Center,MIL,2017,2328652
Rush,Brandon,Shooting Guard,MIL,2017,2116955
Vaughn,Rashad,Shooting Guard,MIL,2017,1811040
Marshall,Kendall,Point Guard,MIL,2017,1524305
Young,James,Shooting Guard,MIL,2017,1524305
Brown,Sterling,Shooting Guard,MIL,2017,1270792
Brogdon,Malcolm,Point Guard,MIL,2017,976837
PaytonII,Gary,Point Guard,MIL,2017,673889
Teague,Jeff,Point Guard,MIN,2017,19000000
Butler,Jimmy,Shooting Guard,MIN,2017,18467976
Dieng,Gorgui,Power Forward,MIN,2017,15700000
Gibson,Taj,Power Forward,MIN,2017,14000000
Aldrich,Cole,Center,MIN,2017,7300000
Wiggins,Andrew,Small Forward,MIN,2017,6212561
Towns,Karl-Anthony,Center,MIN,2017,5960200
Crawford,Jamal,Shooting Guard,MIN,2017,4436200
Bjelica,Nemanja,Power Forward,MIN,2017,3900000
Patton,Justin,Center,MIN,2017,2457540
Brooks,Aaron,Point Guard,MIN,2017,2116955
Muhammad,Shabazz,Small Forward,MIN,2017,1686123
Jones,Tyus,Point Guard,MIN,2017,1339720
Georges-Hunt,Marcus,Shooting Guard,MIN,2017,1312611
Beachem,V.J.,Small Forward,MIN,2017,815615
Jefferson,Amile,Power Forward,MIN,2017,815615
Trimble,Melo,Point Guard,MIN,2017,815615
Holiday,Jrue,Point Guard,NOH,2017,26361000
Davis,Anthony,Power Forward,NOH,2017,25434263
Cousins,DeMarcus,Center,NOH,2017,16404925
Hill,Solomon,Small Forward,NOH,2017,12000000
Asik,Omer,Center,NOH,2017,11595505
Moore,E'Twaun,Shooting Guard,NOH,2017,8500000
Ajinca,Alexis,Center,NOH,2017,5050000
Rondo,Rajon,Point Guard,NOH,2017,3300000
Allen,Tony,Shooting Guard,NOH,2017,2328652
Webster,Martell,Small Forward,NOH,2017,2328652
Cunningham,Dante,Power Forward,NOH,2017,2300000
Miller,Darius,Small Forward,NOH,2017,2152500
Clark,Ian,Shooting Guard,NOH,2017,1577230
JonesIII,Perry,Small Forward,NOH,2017,1524305
Alexander,Cliff,Power Forward,NOH,2017,1312611
Jackson,Frank,Point Guard,NOH,2017,1270792
Crawford,Jordan,Shooting Guard,NOH,2017,941319
Diallo,Cheick,Center,NOH,2017,832994
Noah,Joakim,Center,NYK,2017,18147500
HardawayJr.,Tim,Shooting Guard,NYK,2017,17737500
Kanter,Enes,Power Forward,NYK,2017,17515007
Lee,Courtney,Shooting Guard,NYK,2017,12000835
Thomas,Lance,Small Forward,NYK,2017,6887488
Porzingis,Kristaps,Power Forward,NYK,2017,4662524
Baker,Ron,Shooting Guard,NYK,2017,4436200
O'Quinn,Kyle,Center,NYK,2017,4003125
Ntilinkina,Frank,Point Guard,NYK,2017,3828420
Kuzminskas,Mindaugas,Small Forward,NYK,2017,2961518
McDermott,Doug,Small Forward,NYK,2017,2609109
Jack,Jarrett,Point Guard,NYK,2017,2328652
Sessions,Ramon,Point Guard,NYK,2017,2328652
Beasley,Michael,Small Forward,NYK,2017,2116955
Hernangomez,Willy,Center,NYK,2017,1466125
Artis,Jamel,Small Forward,NYK,2017,815615
Hayes,Nigel,Power Forward,NYK,2017,815615
Rathan-Mayes,Xavier,Shooting Guard,NYK,2017,815615
Westbrook,Russell,Point Guard,OKC,2017,28530608
Adams,Steven,Center,OKC,2017,25000000
Anthony,Carmelo,Small Forward,OKC,2017,24812936
George,Paul,Small Forward,OKC,2017,18314532
Roberson,Andre,Shooting Guard,OKC,2017,10000000
Abrines,Alex,Shooting Guard,OKC,2017,5725000
Patterson,Patrick,Power Forward,OKC,2017,5451600
Singler,Kyle,Small Forward,OKC,2017,4750000
Kanter,Enes,Power Forward,OKC,2017,2682626
Collison,Nick,Power Forward,OKC,2017,2328652
Felton,Raymond,Point Guard,OKC,2017,2328652
Ferguson,Terrance,Shooting Guard,OKC,2017,1951920
Canaan,Isaiah,Point Guard,OKC,2017,1577230
Brown,Markel,Shooting Guard,OKC,2017,1471382
Huestis,Josh,Small Forward,OKC,2017,1191520
Johnson,Dakari,Center,OKC,2017,1096929
Grant,Jerami,Small Forward,OKC,2017,903456
Christon,Semaj,Point Guard,OKC,2017,832994
Alford,Bryce,Guard,OKC,2017,815615
Thomas,Rashawn,Power Forward,OKC,2017,815615
Biyombo,Bismack,Power Forward,ORL,2017,18000000
Fournier,Evan,Shooting Guard,ORL,2017,17000000
Vucevic,Nikola,Center,ORL,2017,13250000
Ross,Terrence,Small Forward,ORL,2017,10500000
Augustin,D.J.,Point Guard,ORL,2017,7250000
Simmons,Jonathon,Shooting Guard,ORL,2017,6666667
Mack,Shelvin,Point Guard,ORL,2017,6000000
Isaac,Jonathan,Small Forward,ORL,2017,4577700
Gordon,Aaron,Small Forward,ORL,2017,4504865
Hezonja,Mario,Small Forward,ORL,2017,3909880
Payton,Elfrid,Point Guard,ORL,2017,2712375
Afflalo,Arron,Shooting Guard,ORL,2017,2328652
Speights,Marreese,Center,ORL,2017,2116955
Rudez,Damjan,Small Forward,ORL,2017,1524305
Iwundu,Wesley,Small Forward,ORL,2017,1348921
Lucas,Kalin,Point Guard,ORL,2017,1312611
Birch,Khem,Power Forward,ORL,2017,1096929
Caupain,Troy,Point Guard,ORL,2017,815615
Redick,J.J.,Shooting Guard,PHI,2017,23000000
Johnson,Amir,Power Forward,PHI,2017,11000000
Bayless,Jerryd,Point Guard,PHI,2017,9000000
Fultz,Markelle,Point Guard,PHI,2017,7683060
Simmons,Ben,Power Forward,PHI,2017,6036000
Embiid,Joel,Center,PHI,2017,4995257
Okafor,Jahlil,Center,PHI,2017,4788880
Stauskas,Nik,Shooting Guard,PHI,2017,3103867
Saric,Dario,Power Forward,PHI,2017,2370420
Humphries,Kris,Power Forward,PHI,2017,2328652
Okafor,Emeka,Center,PHI,2017,2328652
Anderson,Justin,Shooting Guard,PHI,2017,1514200
Korkmaz,Furkan,Shooting Guard,PHI,2017,1482760
Luwawu-Cabarrot,Timothe,Small Forward,PHI,2017,1356780
Covington,Robert,Small Forward,PHI,2017,1148232
Holmes,Richaun,Power Forward,PHI,2017,1038249
BlackmonJr.,James,Shooting Guard,PHI,2017,815615
Pullen,Jacob,Point Guard,PHI,2017,815615
McConnell,T.J.,Point Guard,PHI,2017,804825
Bledsoe,Eric,Point Guard,PHX,2017,14000000
Knight,Brandon,Point Guard,PHX,2017,14000000
Chandler,Tyson,Center,PHX,2017,13000000
